Status,Number,Species,Subgenus,Family,Subfamily,Life history notes,Conservation status,Reference,Plant Foraging Habits,Link to Plant Data,Habitat Details,Link to Habitat Details
N,100,Anthophora rufiventris,Paramegilla,Apidae,Apinae,"ground nesting, solitary and communal",****Egyptian****,,,,,
N,196,Colletes inuncantipedis,none,Colletidae,Colletinae,"ground nesting, solitary",,,,,,
N,232,Lasioglossum lineatum,Dialictus,Halictidae,Halictinae,"ground nesting, eusocial",Spelled wrong,Spelled lineatulum wrong,,,,
N,306,Lasioglossum oceanicum,Dialictus,Halictidae,Halictinae,"ground nesting, eusocial",,,,,,
N,305,Lasioglossum divergens,Hemihalictus,Halictidae,Halictinae,,not found in J Gibbs 2013,synonym of L. macoupinense,,,,
N,301,Lasioglossum leucozonium clusium,Leuchalictus,Halictidae,Halictinae,"ground nesting, solitary",,,,,,
N,323,Sphecodes mandibularis,none,Halictidae,Halictinae,cleptoparasitic,,,,,,
N,352,Hoplitis albifrons argentifrons,Alcidamea,Megachilidae,Megachilinae,insect burrows or pithy stems, solitary,,REDUNDANT,,,
,,,,,,,,,,,,
Y,1,Andrena accepta,Callandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Chrysothamnus sp @ BBSL (1)
Grindelia sp @ BBSL (2)
Grindelia squarrosa @ BBSL (1); UCRC_ENT (1)
Grindelia @ UCRC_ENT (1)
Helianthus annuus @ BBSL (4); UCRC_ENT (7); I_JSA (4)
Helianthus hirsutus @ BBSL__LSAM (2); BBSL (2)
Helianthus petiolaris @ I_ADG (1)
Helianthus sp @ BBSL (2)
Helianthus @ RUAC_ENT (2); I_JSA (2); UCRC_ENT (1); AMNH_BEE (36)
Heliopsis scabra @ AMNH_BEE (3)
Machaeranthera ",https://www.discoverlife.org/20/q?search=Andrena+accepta,,
Y,2,Andrena algida,Euandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Tussilago farfara @ CUIC_ENT (1)
Barbarea vulgaris @ CUIC_ENT (1)
Cornus mas @ CUIC_ENT (1)
Salix sp @ BBSL (31)
Pulsatilla patens @ CUIC_ENT (2); UCRC_ENT (2); AMNH_BEE (25)
Pulsatilla @ UCRC_ENT (1)
Ranunculus sp @ BBSL (1)
Salix brachycarpa @ UCRC_ENT (1)
Salix sp @ CUIC_ENT (18)
Salix @ CUIC_ENT (2); AMNH_BEE (26); UCRC_ENT (1)
Ribes inerme @ UCRC_ENT (1)
Valeriana occidentalis @ BBSL (1)",https://www.discoverlife.org/20/q?search=Andrena+algida,,
Y,3,Andrena aliciae,Callandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Bidens bipinnata @ AMNH_BEE (2)
Helianthus atrorubens @ AMNH_BEE (4)
Helianthus divaricatus @ AMNH_BEE (2)
Helianthus microcephalus @ AMNH_BEE (5)
Helianthus sp @ BBSL (1)
Helianthus strumosus @ AMNH_BEE (1)
Rudbeckia laciniata @ BBSL (1); AMNH_BEE (3)",https://www.discoverlife.org/20/q?search=Andrena+aliciae,,
Y,4,Andrena alleghaniensis,Scrapteropsis,Andrenidae,Andreninae,"ground nesting, solitary",,,"Viburnum opulus @ UCRC_ENT (5)
Viburnum sp @ CUIC_ENT (1)
Zizia aurea @ CUIC_ENT (1)
Ilex opaca @ UCMS_ENT (2)
Leucanthemum vulgare @ CUIC_ENT (6)
Senecio aureus @ CUIC_ENT (2)
Alliaria @ AMNH_BEE (1)
Brassica sp @ CUIC_ENT (2)
Cornus @ AMNH_BEE (1)
Melilotus officinalis @ CUIC_ENT (1); MLSB__N16- (1)
Salix sp @ BBSL (1)
Ranunculus sp @ CUIC_ENT (1)
Ceanothus americanus @ CUIC_ENT (1)
Rubus sp @ CUIC_ENT (73)
blueberry @ NLA (2)
cucurbit @ NLA (1)",https://www.discoverlife.org/20/q?search=Andrena+alleghaniensis,,
